question,answer,answer_relevance,faithfulness,retrieval_quality,comments
What is glaucoma?,Glaucoma is a group of diseases that can damage the eye's optic nerve and result in vision loss and blindness.,5,5,5,The generated answer is a direct quote from the retrieved context and accurately describes glaucoma. The retrieved chunks are relevant and useful in providing a clear explanation of the disease.
What are the symptoms of asthma?,"Wheezing, coughing, especially early in the morning or at night, chest tightness, and shortness of breath.",5,5,5,"The generated answer directly answers the question and is fully supported by the retrieved context. The retrieved chunks are highly relevant and useful, providing detailed information about asthma symptoms."
How is diabetes treated?,"Diabetes cannot be cured, but it can be managed. The treatments for diabetes include:

- Taking medicines, such as insulin for type 1 diabetes and oral medications or insulin for type 2 diabetes.
- Keeping track of blood glucose levels by checking blood sugar with a blood glucose meter.
- Checking blood pressure if advised by a doctor.
- Checking feet every day for cuts, blisters, red spots, and swelling.
- Brushing teeth and flossing every day.
- Stopping smoking.
- Eating well with a healthy eating plan.
- Being active with regular exercise, such as 30 minutes a day.",5,5,5,"The generated answer is fully supported by the retrieved context and directly answers the question. The retrieved chunks are highly relevant and useful, providing detailed information on diabetes treatment."
What causes high blood pressure?,"Changes in Body Functions, including: 
1. Kidney fluid and salt balances 
2. The renin-angiotensin-aldosterone system 
3. The sympathetic nervous system activity 
4. Blood vessel structure and function.",5,5,5,"The generated answer is a direct summary of the retrieved context, fully supported by the provided information, and the retrieved chunks are highly relevant and useful."
What is kidney failure?,Kidney failure means very advanced kidney damage with less than 15% normal function.,5,5,5,"The generated answer is a direct quote from the retrieved context, and it accurately represents the information provided. The retrieved context is highly relevant and useful for answering the question."
What is osteoporosis?,Osteoporosis is a disease that thins and weakens the bones to the point that they break easily.,5,5,5,"The generated answer is a direct quote from the retrieved context, and it fully captures the definition of osteoporosis. The retrieved chunks are highly relevant and useful, providing detailed information about the disease."
What causes migraine?,Doctors used to believe migraines were linked to the opening and narrowing of blood vessels in the head. Now they believe the cause is related to genes that control the activity of some brain cells.,5,5,5,"The answer directly answers the question about the cause of migraines, is fully supported by the retrieved context, and the retrieved context is highly relevant and useful."
What is cataract?,A cataract is a clouding of the lens in the eye that affects vision.,5,5,5,"The generated answer is a direct quote from the retrieved context, and the context is highly relevant and useful for answering the question."
How is anemia diagnosed?,Your doctor will diagnose anemia with a physical exam and blood tests.,5,0,5,"The answer is relevant to the question, but it does not fully support the specific context of the question. The retrieved context is relevant and useful, but it does not provide the exact information needed to fully support the answer."
What are the symptoms of Parkinson's disease?,"The four main symptoms of Parkinson's disease are: 
1. Tremor, or trembling in hands, arms, legs, jaw, or head 
2. Rigidity, or stiffness of the limbs and trunk 
3. Bradykinesia, or slowness of movement 
4. Postural instability, or impaired balance.",5,5,5,"The generated answer is a direct quote from the retrieved context, and it accurately represents the symptoms of Parkinson's disease. The retrieved context is highly relevant and useful, providing detailed information about the disease and its symptoms."
